<http://www.yso.fi/onto/yso/p454>	politiikka
<http://www.yso.fi/onto/yso/p1187>	vuosikirjat
<http://www.yso.fi/onto/yso/p10137>	trendit
<http://www.yso.fi/onto/yso/p372>	kulttuuri
<http://www.yso.fi/onto/yso/p3974>	ilmiöt
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p2851>	taide
<http://www.yso.fi/onto/yso/p2564>	kotimaa
<http://www.yso.fi/onto/yso/p6>	populaarikulttuuri
<http://www.yso.fi/onto/yso/p1272>	henkilöt
<http://www.yso.fi/onto/yso/p7051>	esittelyt
<http://www.yso.fi/onto/yso/p352>	tieteet
<http://www.yso.fi/onto/yso/p7319>	maailma
