<http://www.yso.fi/onto/yso/p4064>	vapaus
<http://www.yso.fi/onto/yso/p2851>	taide
<http://www.yso.fi/onto/yso/p19845>	taidehistoria
<http://www.yso.fi/onto/yso/p626>	kuolema
<http://www.yso.fi/onto/yso/p1826>	seksuaalisuus
<http://www.yso.fi/onto/yso/p3405>	teemat
<http://www.yso.fi/onto/yso/p8883>	maalaustaide
<http://www.yso.fi/onto/yso/p1896>	romaanit
<http://www.yso.fi/onto/yso/p2128>	kertomakirjallisuus
<http://www.yso.fi/onto/yso/p6365>	naisen asema
<http://www.yso.fi/onto/yso/p14600>	fiktio
