<http://www.yso.fi/onto/yso/p15937>	vauvat
<http://www.yso.fi/onto/yso/p10115>	artikkelit
<http://www.yso.fi/onto/yso/p8749>	raskaus
<http://www.yso.fi/onto/yso/p7196>	tytöt
<http://www.yso.fi/onto/yso/p11604>	pojat
<http://www.yso.fi/onto/yso/p7281>	sikiönkehitys
<http://www.yso.fi/onto/yso/p1255>	aikakauslehdet
<http://www.yso.fi/onto/yso/p414>	sikiödiagnostiikka
<http://www.yso.fi/onto/yso/p19931>	sikiö
<http://www.yso.fi/onto/yso/p2357>	lapset
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p8430>	kaukopalvelu
