Mäntän musiikkijuhlat Mäntän musiikkijuhlien aikataulu ja esiintyjät.	<http://urn.fi/URN:NBN:fi:au:ykl:78>
Viro-instituutti Instituutin tehtävänä on tehdä tunnetuksi virolaista kulttuuria Suomessa ja auttaa täällä olevia virolaisia käytännön asioissa. Sivuilta löytyy Viron kulttuurikalenteri ja luettelo sikäläisistä oppilaitoksista (valtiollisista ja yksityisistä) jotka tarjoavat opiskelumahdollisuuksia myös suomalaisille. Lisäksi tietoiskuja Viron kulttuurista.	<http://urn.fi/URN:NBN:fi:au:ykl:47.21> <http://urn.fi/URN:NBN:fi:au:ykl:06>
Astma Allergia- ja astmaliiton ladattava (PDF) opas käsittelee lähinnä aikuisten ja kouluikäisten astmaa.	<http://urn.fi/URN:NBN:fi:au:ykl:59.58>
Mapline24.com Verkkokauppa myy karttoja eri tarkoituksiin: marjastukseen, metsästykseen, retkeilyyn, melontaan ja pyöräilyyyn. Maksutapoja ovat kolmen pankin verkkomaksu ja tilisiirto.	<http://urn.fi/URN:NBN:fi:au:ykl:42>
CAGE - Cyber Art Gallery Eindhoven Sisältää parinkymmenen eri maalaisen taiteilijan maalauksia, tietoa ajankohtaisista ja menneistä näyttelyistä sekä hyvät linkit.	<http://urn.fi/URN:NBN:fi:au:ykl:70>
Silvics of North America Pohjois-Amerikan metsänhoidon käsikirjassa on kuvailtu kaikkiaan n. 200 havupuu- ja jalopuulajin ominaispiirteet metsänhoidon kannalta. Käsikirja on jaettu kahteen osaan, molemmat ovat sekä html-muodossa että pdf-versiona.	<http://urn.fi/URN:NBN:fi:au:ykl:67.5> <http://urn.fi/URN:NBN:fi:au:ykl:67.51>
Laatukeskus Laatukeskuksen esittely, Suomen Laatupalkinnon arviointiperusteet, Laatukeskuksen tapahtumat, julkaisut ja koulutustarjonta.	<http://urn.fi/URN:NBN:fi:au:ykl:69.1>
Anarkismi.net Anarkismi on vapaa yhteiskuntapoliittinen aate jonka tehtävä on ajaa tasavertaista ja demokraattista järjestäytymistä yhteiskunnassamme.Toimintaan kuuluu tarjota erilaisille anarkistisille järjestöille ja projekteille mm. kotisivutilaa ja sähköpostiosoitteita	<http://urn.fi/URN:NBN:fi:au:ykl:17.3>
Informaatiotutkimuksen ja interaktiivisen median tutkinto-ohjelma Tampereen yliopiston informaatiotieteiden yksikköön kuuluvan Informaatiotutkimuksen ja interaktiivisen median koulutusohjelman sivuilla on ohjelman esittely, tietoa opiskelusta sekä työelämästä ja -harjoittelusta.	<http://urn.fi/URN:NBN:fi:au:ykl:02>
Pan Page Tekijän kirja steel-rumpujen virityksestä HTML-muodossa. Lisäksi orkestereiden, järjestöjen, myyjien ja virittäjien yhteystietoja sekä bibliografia.	<http://urn.fi/URN:NBN:fi:au:ykl:78.872>
