<http://www.wikidata.org/entity/Q6199>	anarchism
<http://www.wikidata.org/entity/Q38404>	classic autism
<http://www.wikidata.org/entity/Q101038>	albedo
<http://www.wikidata.org/entity/Q173>	Alabama
<http://www.wikidata.org/entity/Q41746>	Achilles
<http://www.wikidata.org/entity/Q91>	Abraham Lincoln
<http://www.wikidata.org/entity/Q868>	Aristotle
<http://www.wikidata.org/entity/Q19020>	Academy Awards
<http://www.wikidata.org/entity/Q167323>	altruism
<http://www.wikidata.org/entity/Q132524>	Ayn Rand
<http://www.wikidata.org/entity/Q262>	Algeria
<http://www.wikidata.org/entity/Q23404>	anthropology
<http://www.wikidata.org/entity/Q39689>	alchemy
<http://www.wikidata.org/entity/Q11063>	astronomer
<http://www.wikidata.org/entity/Q8815>	ASCII
<http://www.wikidata.org/entity/Q11425>	animation
<http://www.wikidata.org/entity/Q37340>	Apollo
<http://www.wikidata.org/entity/Q7407>	Andre Agassi
<http://www.wikidata.org/entity/Q33199>	Austro-Asiatic languages
<http://www.wikidata.org/entity/Q25268>	Afro-Asiatic languages
<http://www.wikidata.org/entity/Q228>	Andorra
<http://www.wikidata.org/entity/Q19033>	arithmetic mean
<http://www.wikidata.org/entity/Q1396889>	Animal Farm
<http://www.wikidata.org/entity/Q10908>	Amphibia
<http://www.wikidata.org/entity/Q797>	Alaska
<http://www.wikidata.org/entity/Q11451>	agriculture
<http://www.wikidata.org/entity/Q81447>	Aldous Huxley
<http://www.wikidata.org/entity/Q154614>	Ada
<http://www.wikidata.org/entity/Q37868>	algae
<http://www.wikidata.org/entity/Q42297>	analysis of variance
<http://www.wikidata.org/entity/Q41581>	alkane
<http://www.wikidata.org/entity/Q12806>	abacus
<http://www.wikidata.org/entity/Q11158>	acid
<http://www.wikidata.org/entity/Q202251>	asphalt
<http://www.wikidata.org/entity/Q180003>	American National Standards Institute
<http://www.wikidata.org/entity/Q43653>	Apollo 11
<http://www.wikidata.org/entity/Q184201>	Apollo 8
<http://www.wikidata.org/entity/Q11631>	astronaut
<http://www.wikidata.org/entity/Q19557>	alkali metals
<http://www.wikidata.org/entity/Q9779>	alphabet
<http://www.wikidata.org/entity/Q23809>	atomic number
<http://www.wikidata.org/entity/Q514>	anatomy
<http://www.wikidata.org/entity/Q853>	Andrei Tarkovsky
<http://www.wikidata.org/entity/Q46212>	aardvark
<http://www.wikidata.org/entity/Q185295>	aardwolf
<http://www.wikidata.org/entity/Q183496>	adobe
<http://www.wikidata.org/entity/Q1436734>	adventure
<http://www.wikidata.org/entity/Q48>	Asia
<http://www.wikidata.org/entity/Q21203>	Aruba
<http://www.wikidata.org/entity/Q97>	Atlantic Ocean
<http://www.wikidata.org/entity/Q38193>	Arthur Schopenhauer
<http://www.wikidata.org/entity/Q916>	Angola
<http://www.wikidata.org/entity/Q181787>	android
<http://www.wikidata.org/entity/Q1951>	Alberta
<http://www.wikidata.org/entity/Q127282>	Actinopterygii
<http://www.wikidata.org/entity/Q937>	Albert Einstein
<http://www.wikidata.org/entity/Q889>	Afghanistan
<http://www.wikidata.org/entity/Q222>	Albania
<http://www.wikidata.org/entity/Q234801>	Allah
<http://www.wikidata.org/entity/Q227>	Azerbaijan
<http://www.wikidata.org/entity/Q560575>	amateur astronomy
<http://www.wikidata.org/entity/Q43114>	aikido
<http://www.wikidata.org/entity/Q735>	art
<http://www.wikidata.org/entity/Q8452>	abortion
<http://www.wikidata.org/entity/Q40949>	American Revolutionary War
<http://www.wikidata.org/entity/Q25272>	ampere
<http://www.wikidata.org/entity/Q8366>	algorithm
<http://www.wikidata.org/entity/Q192691>	annual plant
<http://www.wikidata.org/entity/Q8409>	Alexander the Great
<http://www.wikidata.org/entity/Q26229>	Asparagales
<http://www.wikidata.org/entity/Q27341>	Alismatales
<http://www.wikidata.org/entity/Q21138>	Apiales
<http://www.wikidata.org/entity/Q21730>	Asterales
<http://www.wikidata.org/entity/Q3863>	asteroid
<http://www.wikidata.org/entity/Q10584>	Aries
<http://www.wikidata.org/entity/Q10576>	Aquarius
<http://www.wikidata.org/entity/Q1107>	anime
<http://www.wikidata.org/entity/Q3640>	Ankara
<http://www.wikidata.org/entity/Q13955>	Arabic
<http://www.wikidata.org/entity/Q7374>	Alfred Hitchcock
<http://www.wikidata.org/entity/Q37845>	Altaic languages
<http://www.wikidata.org/entity/Q179692>	axiom of choice
<http://www.wikidata.org/entity/Q36724>	Attila
<http://www.wikidata.org/entity/Q34575>	Aegean Sea
<http://www.wikidata.org/entity/Q692557>	A Clockwork Orange
<http://www.wikidata.org/entity/Q727>	Amsterdam
<http://www.wikidata.org/entity/Q23317>	Audi
<http://www.wikidata.org/entity/Q11436>	aircraft
<http://www.wikidata.org/entity/Q23810>	Alfred Nobel
<http://www.wikidata.org/entity/Q34286>	Alexander Graham Bell
<http://www.wikidata.org/entity/Q51614>	Anatolia
<http://www.wikidata.org/entity/Q312>	Apple
<http://www.wikidata.org/entity/Q189912>	Aberdeenshire
<http://www.wikidata.org/entity/Q8676>	American Civil War
<http://www.wikidata.org/entity/Q5603>	Andy Warhol
<http://www.wikidata.org/entity/Q200193>	Alp Arslan
<http://www.wikidata.org/entity/Q207460>	American Film Institute
<http://www.wikidata.org/entity/Q8006>	Akira Kurosawa
<http://www.wikidata.org/entity/Q11768>	Ancient Egypt
<http://www.wikidata.org/entity/Q185087>	abjad
<http://www.wikidata.org/entity/Q335806>	abugida
<http://www.wikidata.org/entity/Q18233>	ABBA
<http://www.wikidata.org/entity/Q131120>	Anna Kournikova
<http://www.wikidata.org/entity/Q288928>	agnosticism
<http://www.wikidata.org/entity/Q696>	argon
<http://www.wikidata.org/entity/Q871>	arsenic
<http://www.wikidata.org/entity/Q1099>	antimony
<http://www.wikidata.org/entity/Q1121>	actinium
<http://www.wikidata.org/entity/Q1872>	americium
<http://www.wikidata.org/entity/Q999>	astatine
<http://www.wikidata.org/entity/Q9121>	atom
<http://www.wikidata.org/entity/Q663>	aluminium
<http://www.wikidata.org/entity/Q193312>	Anglican Communion
<http://www.wikidata.org/entity/Q33837>	archipelago
<http://www.wikidata.org/entity/Q482980>	author
<http://www.wikidata.org/entity/Q176659>	Andrey Markov
<http://www.wikidata.org/entity/Q154430>	anxiety
<http://www.wikidata.org/entity/Q207036>	A. A. Milne
