<http://www.yso.fi/onto/yso/p10>	ympäristötietoisuus
<http://www.yso.fi/onto/yso/p100>	elatusturva
<http://www.yso.fi/onto/yso/p1000>	taidekäsityö
<http://www.yso.fi/onto/yso/p10000>	palvelutaso
<http://www.yso.fi/onto/yso/p10001>	palveluala
<http://www.yso.fi/onto/yso/p10002>	kreikankielinen kirjallisuus
<http://www.yso.fi/onto/yso/p10003>	kalanviljelylaitokset
<http://www.yso.fi/onto/yso/p10004>	lämmönsäätely
<http://www.yso.fi/onto/yso/p10005>	Säätytalo
<http://www.yso.fi/onto/yso/p10006>	siirtolaisuus
<http://www.yso.fi/onto/yso/p10007>	koristemaalaus
<http://www.yso.fi/onto/yso/p10008>	ornamentiikka
<http://www.yso.fi/onto/yso/p10009>	Sibeliustalo
<http://www.yso.fi/onto/yso/p1001>	intentio
<http://www.yso.fi/onto/yso/p10010>	konserttitalot
<http://www.yso.fi/onto/yso/p10011>	sanktiot
<http://www.yso.fi/onto/yso/p10012>	pakotteet
<http://www.yso.fi/onto/yso/p10013>	maa-analyysi
<http://www.yso.fi/onto/yso/p10014>	viljavuus
<http://www.yso.fi/onto/yso/p10015>	inuitit
<http://www.yso.fi/onto/yso/p10016>	grönlantilaiset
<http://www.yso.fi/onto/yso/p10017>	tupakointi
<http://www.yso.fi/onto/yso/p10018>	piiput
<http://www.yso.fi/onto/yso/p10019>	savukkeet
<http://www.yso.fi/onto/yso/p1002>	nunnajärjestöt
<http://www.yso.fi/onto/yso/p10020>	nuuska
<http://www.yso.fi/onto/yso/p10021>	sikarit
<http://www.yso.fi/onto/yso/p10022>	tupakansavu
<http://www.yso.fi/onto/yso/p10024>	öljysäiliöt
<http://www.yso.fi/onto/yso/p10025>	kondorit
<http://www.yso.fi/onto/yso/p10026>	teosofia
<http://www.yso.fi/onto/yso/p10027>	eurytmia
<http://www.yso.fi/onto/yso/p10028>	paikkalinnut
<http://www.yso.fi/onto/yso/p10029>	puukot
<http://www.yso.fi/onto/yso/p1003>	sääntökunnat
<http://www.yso.fi/onto/yso/p10030>	veitset
<http://www.yso.fi/onto/yso/p10031>	kataja
<http://www.yso.fi/onto/yso/p10032>	sypressikasvit
<http://www.yso.fi/onto/yso/p10033>	Seestan kartano
<http://www.yso.fi/onto/yso/p10034>	antiloopit
<http://www.yso.fi/onto/yso/p10035>	matkapalvelukeskukset
<http://www.yso.fi/onto/yso/p10036>	Pohjanmaan rantatie
<http://www.yso.fi/onto/yso/p10038>	ilmalämmitys
<http://www.yso.fi/onto/yso/p10039>	viivästyskorko
<http://www.yso.fi/onto/yso/p1004>	nunnat
<http://www.yso.fi/onto/yso/p10040>	korko
<http://www.yso.fi/onto/yso/p10041>	kulttuurihistorialliset museot
<http://www.yso.fi/onto/yso/p10042>	virtsarakko
<http://www.yso.fi/onto/yso/p10043>	virtsatiet
<http://www.yso.fi/onto/yso/p10044>	kielilaki
<http://www.yso.fi/onto/yso/p10045>	koeasemat
<http://www.yso.fi/onto/yso/p10046>	opetuselokuvat
<http://www.yso.fi/onto/yso/p10047>	elokuvateatterit
<http://www.yso.fi/onto/yso/p10048>	hauki
<http://www.yso.fi/onto/yso/p10049>	romu
<http://www.yso.fi/onto/yso/p1005>	luostarilaitos
<http://www.yso.fi/onto/yso/p10050>	kaupunkimallit
<http://www.yso.fi/onto/yso/p10051>	kuntamuodot
<http://www.yso.fi/onto/yso/p10052>	kunnallisneuvokset
<http://www.yso.fi/onto/yso/p10053>	yhtiökokoukset
<http://www.yso.fi/onto/yso/p10054>	sampikalat
<http://www.yso.fi/onto/yso/p10055>	kirjanpitolaki
<http://www.yso.fi/onto/yso/p10056>	jälkiverotus
<http://www.yso.fi/onto/yso/p10057>	pohjoinen epilepsia
<http://www.yso.fi/onto/yso/p10058>	Atkinsin dieetti
<http://www.yso.fi/onto/yso/p10059>	kadunrakennus
<http://www.yso.fi/onto/yso/p1006>	lisäarvo
<http://www.yso.fi/onto/yso/p10060>	kehitysvammaiset
<http://www.yso.fi/onto/yso/p10061>	kehitysvammaisuus
<http://www.yso.fi/onto/yso/p10062>	mesmerismi
<http://www.yso.fi/onto/yso/p10063>	hypnoosi
<http://www.yso.fi/onto/yso/p10064>	Eläintarhanajo
<http://www.yso.fi/onto/yso/p10065>	koneneulonta
<http://www.yso.fi/onto/yso/p10066>	neulonta
<http://www.yso.fi/onto/yso/p10067>	neulekoneet
<http://www.yso.fi/onto/yso/p10068>	merimaalaus
<http://www.yso.fi/onto/yso/p10069>	maisemamaalaus
<http://www.yso.fi/onto/yso/p1007>	arvo
<http://www.yso.fi/onto/yso/p10071>	pujottelu
<http://www.yso.fi/onto/yso/p10072>	nukleiinihapot
<http://www.yso.fi/onto/yso/p10073>	mykeneläinen kulttuuri
<http://www.yso.fi/onto/yso/p10074>	rahat
<http://www.yso.fi/onto/yso/p10076>	audiologia
<http://www.yso.fi/onto/yso/p10077>	Premiere
<http://www.yso.fi/onto/yso/p10078>	wokkiruoat
<http://www.yso.fi/onto/yso/p10079>	valajat
<http://www.yso.fi/onto/yso/p1008>	lentoemännät
<http://www.yso.fi/onto/yso/p10080>	saaristoliikenne
<http://www.yso.fi/onto/yso/p10081>	selvänäkö
<http://www.yso.fi/onto/yso/p10083>	kunnat
<http://www.yso.fi/onto/yso/p10084>	kauppaneuvokset
<http://www.yso.fi/onto/yso/p10085>	datasähkö
<http://www.yso.fi/onto/yso/p10086>	luonnonhistoria
<http://www.yso.fi/onto/yso/p10087>	siirto (viestintä)
<http://www.yso.fi/onto/yso/p10088>	kunnanhallitukset
<http://www.yso.fi/onto/yso/p10089>	kaupunginhallitukset
<http://www.yso.fi/onto/yso/p1009>	palveluammatit
<http://www.yso.fi/onto/yso/p10090>	kunnallislautakunnat
<http://www.yso.fi/onto/yso/p10091>	sähköjunat
<http://www.yso.fi/onto/yso/p10092>	SWOT-analyysi
<http://www.yso.fi/onto/yso/p10094>	OpenOffice
<http://www.yso.fi/onto/yso/p10095>	dokumenttikirjallisuus
<http://www.yso.fi/onto/yso/p10098>	rusto-hiushypoplasia
<http://www.yso.fi/onto/yso/p10099>	kasvuhäiriöt
<http://www.yso.fi/onto/yso/p1010>	sato
<http://www.yso.fi/onto/yso/p10100>	vuosilustot
<http://www.yso.fi/onto/yso/p10101>	insolvenssioikeus
<http://www.yso.fi/onto/yso/p10102>	koronmaksut
<http://www.yso.fi/onto/yso/p10103>	tukipalkkiot
<http://www.yso.fi/onto/yso/p10104>	helat
<http://www.yso.fi/onto/yso/p10105>	nykytanssi
<http://www.yso.fi/onto/yso/p10106>	opintolainat
<http://www.yso.fi/onto/yso/p10107>	kyyhkylinnut
<http://www.yso.fi/onto/yso/p10108>	etanoli
<http://www.yso.fi/onto/yso/p10109>	sydämenhieronta
<http://www.yso.fi/onto/yso/p1011>	meriajokas
<http://www.yso.fi/onto/yso/p10110>	elvytys
<http://www.yso.fi/onto/yso/p10111>	täytekakut
<http://www.yso.fi/onto/yso/p10112>	Erbin pareesi
<http://www.yso.fi/onto/yso/p10113>	leipomotyöntekijät
<http://www.yso.fi/onto/yso/p10114>	leipurit
<http://www.yso.fi/onto/yso/p10115>	artikkelit (julkaisut)
<http://www.yso.fi/onto/yso/p10116>	ohjelmavälitys
<http://www.yso.fi/onto/yso/p10117>	ohjelmatoimistot
<http://www.yso.fi/onto/yso/p10118>	paloluokitukset
<http://www.yso.fi/onto/yso/p10119>	kestävyys
<http://www.yso.fi/onto/yso/p1012>	ajokaskasvit
<http://www.yso.fi/onto/yso/p10120>	espanjantauti
<http://www.yso.fi/onto/yso/p10121>	pandemiat
<http://www.yso.fi/onto/yso/p10122>	liitännät
<http://www.yso.fi/onto/yso/p10123>	antologiat
<http://www.yso.fi/onto/yso/p10124>	kehitysteoriat
<http://www.yso.fi/onto/yso/p10125>	ekotase
<http://www.yso.fi/onto/yso/p10126>	varaosamyyjät
<http://www.yso.fi/onto/yso/p10127>	portaat
<http://www.yso.fi/onto/yso/p10128>	kuikka (laji)
<http://www.yso.fi/onto/yso/p10129>	isomeria
<http://www.yso.fi/onto/yso/p1013>	jumalatodistukset
<http://www.yso.fi/onto/yso/p10130>	kemialliset sidokset
<http://www.yso.fi/onto/yso/p10131>	tautomeria
<http://www.yso.fi/onto/yso/p10132>	puolustusvoimain komentajat
<http://www.yso.fi/onto/yso/p10133>	sotaväen päälliköt
<http://www.yso.fi/onto/yso/p10134>	leonberginkoira
<http://www.yso.fi/onto/yso/p10136>	materiaalivirrat
<http://www.yso.fi/onto/yso/p10137>	trendit
