<http://www.yso.fi/onto/yso/p10>	miljömedvetande
<http://www.yso.fi/onto/yso/p100>	underhållstrygghet
<http://www.yso.fi/onto/yso/p1000>	konsthantverk
<http://www.yso.fi/onto/yso/p10000>	servicenivå
<http://www.yso.fi/onto/yso/p10001>	servicebranschen
<http://www.yso.fi/onto/yso/p10002>	grekisk litteratur
<http://www.yso.fi/onto/yso/p10003>	fiskodlingsanstalter
<http://www.yso.fi/onto/yso/p10004>	temperaturreglering (ämnesomsättning)
<http://www.yso.fi/onto/yso/p10005>	Ständerhuset
<http://www.yso.fi/onto/yso/p10006>	migration
<http://www.yso.fi/onto/yso/p10007>	dekorationsmålning
<http://www.yso.fi/onto/yso/p10008>	ornamentik
<http://www.yso.fi/onto/yso/p10009>	Sibeliushuset
<http://www.yso.fi/onto/yso/p1001>	intention
<http://www.yso.fi/onto/yso/p10010>	konserthus
<http://www.yso.fi/onto/yso/p10011>	sanktioner
<http://www.yso.fi/onto/yso/p10012>	sanktioner (bestraffning)
<http://www.yso.fi/onto/yso/p10013>	jordanalys
<http://www.yso.fi/onto/yso/p10014>	bördighet
<http://www.yso.fi/onto/yso/p10015>	inuiter
<http://www.yso.fi/onto/yso/p10016>	grönlänningar
<http://www.yso.fi/onto/yso/p10017>	tobaksrökning
<http://www.yso.fi/onto/yso/p10018>	pipor
<http://www.yso.fi/onto/yso/p10019>	cigaretter
<http://www.yso.fi/onto/yso/p1002>	nunneordnar
<http://www.yso.fi/onto/yso/p10020>	snus
<http://www.yso.fi/onto/yso/p10021>	cigarrer
<http://www.yso.fi/onto/yso/p10022>	tobaksrök
<http://www.yso.fi/onto/yso/p10024>	oljecisterner
<http://www.yso.fi/onto/yso/p10025>	kondorer
<http://www.yso.fi/onto/yso/p10026>	teosofi
<http://www.yso.fi/onto/yso/p10027>	eurytmi
<http://www.yso.fi/onto/yso/p10028>	stannfåglar
<http://www.yso.fi/onto/yso/p10029>	slidknivar
<http://www.yso.fi/onto/yso/p1003>	ordenssamfund
<http://www.yso.fi/onto/yso/p10030>	knivar
<http://www.yso.fi/onto/yso/p10031>	en
<http://www.yso.fi/onto/yso/p10032>	cypressväxter
<http://www.yso.fi/onto/yso/p10033>	Sesta gård
<http://www.yso.fi/onto/yso/p10034>	antiloper
<http://www.yso.fi/onto/yso/p10035>	färdtjänstcentraler
<http://www.yso.fi/onto/yso/p10036>	Österbottens strandväg
<http://www.yso.fi/onto/yso/p10038>	luftuppvärmning
<http://www.yso.fi/onto/yso/p10039>	förseningsränta
<http://www.yso.fi/onto/yso/p1004>	nunnor
<http://www.yso.fi/onto/yso/p10040>	ränta
<http://www.yso.fi/onto/yso/p10041>	kulturhistoriska museer
<http://www.yso.fi/onto/yso/p10042>	urinblåsa
<http://www.yso.fi/onto/yso/p10043>	urinvägar
<http://www.yso.fi/onto/yso/p10044>	språklag
<http://www.yso.fi/onto/yso/p10045>	försöksstationer
<http://www.yso.fi/onto/yso/p10046>	undervisningsfilmer
<http://www.yso.fi/onto/yso/p10047>	biografer (film)
<http://www.yso.fi/onto/yso/p10048>	gädda
<http://www.yso.fi/onto/yso/p10049>	skrot
<http://www.yso.fi/onto/yso/p1005>	klosterväsen
<http://www.yso.fi/onto/yso/p10050>	stadsmodeller
<http://www.yso.fi/onto/yso/p10051>	kommunformer
<http://www.yso.fi/onto/yso/p10052>	kommunalråd
<http://www.yso.fi/onto/yso/p10053>	bolagsstämmor
<http://www.yso.fi/onto/yso/p10054>	störartade fiskar
<http://www.yso.fi/onto/yso/p10055>	bokföringslag
<http://www.yso.fi/onto/yso/p10056>	efterbeskattning
<http://www.yso.fi/onto/yso/p10057>	nordlig epilepsi
<http://www.yso.fi/onto/yso/p10058>	Atkinsdieten
<http://www.yso.fi/onto/yso/p10059>	gatubyggnad
<http://www.yso.fi/onto/yso/p1006>	mervärde
<http://www.yso.fi/onto/yso/p10060>	utvecklingsstörda
<http://www.yso.fi/onto/yso/p10061>	utvecklingsstörning (egenskap)
<http://www.yso.fi/onto/yso/p10062>	mesmerism
<http://www.yso.fi/onto/yso/p10063>	hypnos
<http://www.yso.fi/onto/yso/p10064>	Djurgårdsloppet
<http://www.yso.fi/onto/yso/p10065>	maskinstickning
<http://www.yso.fi/onto/yso/p10066>	stickning
<http://www.yso.fi/onto/yso/p10067>	stickmaskiner
<http://www.yso.fi/onto/yso/p10068>	marinmåleri
<http://www.yso.fi/onto/yso/p10069>	landskapsmåleri
<http://www.yso.fi/onto/yso/p1007>	värde
<http://www.yso.fi/onto/yso/p10071>	slalom
<http://www.yso.fi/onto/yso/p10072>	nukleinsyror
<http://www.yso.fi/onto/yso/p10073>	mykensk kultur
<http://www.yso.fi/onto/yso/p10074>	myntenheter
<http://www.yso.fi/onto/yso/p10076>	audiologi
<http://www.yso.fi/onto/yso/p10077>	Premiere
<http://www.yso.fi/onto/yso/p10078>	wokrätter
<http://www.yso.fi/onto/yso/p10079>	gjutare
<http://www.yso.fi/onto/yso/p1008>	flygvärdinnor
<http://www.yso.fi/onto/yso/p10080>	skärgårdstrafik
<http://www.yso.fi/onto/yso/p10081>	klärvoajans
<http://www.yso.fi/onto/yso/p10083>	kommuner
<http://www.yso.fi/onto/yso/p10084>	kommerseråd
<http://www.yso.fi/onto/yso/p10085>	datael
<http://www.yso.fi/onto/yso/p10086>	naturhistoria
<http://www.yso.fi/onto/yso/p10087>	överföring (kommunikation)
<http://www.yso.fi/onto/yso/p10088>	kommunstyrelser
<http://www.yso.fi/onto/yso/p10089>	stadsstyrelser
<http://www.yso.fi/onto/yso/p1009>	serviceyrken
<http://www.yso.fi/onto/yso/p10090>	kommunalnämnder
<http://www.yso.fi/onto/yso/p10091>	eltåg
<http://www.yso.fi/onto/yso/p10092>	SWOT-analys
<http://www.yso.fi/onto/yso/p10094>	OpenOffice
<http://www.yso.fi/onto/yso/p10095>	dokumentärlitteratur
<http://www.yso.fi/onto/yso/p10098>	bråsk-hårhypoplasi
<http://www.yso.fi/onto/yso/p10099>	tillväxtrubbningar
<http://www.yso.fi/onto/yso/p1010>	skörd
<http://www.yso.fi/onto/yso/p10100>	årsringar
<http://www.yso.fi/onto/yso/p10101>	insolvensrätt
<http://www.yso.fi/onto/yso/p10102>	räntebetalningar
<http://www.yso.fi/onto/yso/p10103>	subventioner
<http://www.yso.fi/onto/yso/p10104>	beslag (teknik)
<http://www.yso.fi/onto/yso/p10105>	nutidsdans
<http://www.yso.fi/onto/yso/p10106>	studielån
<http://www.yso.fi/onto/yso/p10107>	duvfåglar
<http://www.yso.fi/onto/yso/p10108>	etanol
<http://www.yso.fi/onto/yso/p10109>	hjärtmassage
<http://www.yso.fi/onto/yso/p1011>	bandtång
<http://www.yso.fi/onto/yso/p10110>	återupplivning
<http://www.yso.fi/onto/yso/p10111>	tårtor
<http://www.yso.fi/onto/yso/p10112>	Erb-Duchennes pares
<http://www.yso.fi/onto/yso/p10113>	bageriarbetare
<http://www.yso.fi/onto/yso/p10114>	bagare
<http://www.yso.fi/onto/yso/p10115>	artiklar (publikationer)
